DATE,GRID_NO,RR,TX,TN,FF,RH,G
20130607,1,0.006,26.159,12.264,3.276,62.704,27852.12
20130607,2,0.005,26.321,12.298,3.22,62.219,27852.12
20130607,3,0.006,26.324,12.442,2.971,63.249,27843.328
20130607,4,0.006,26.382,12.453,2.908,63.606,27828.864
20130607,5,0.006,26.707,12.364,2.723,64.386,27792.84
20130607,6,0.004,26.478,12.383,3.275,61.661,27912.526
20130607,7,0.005,26.437,12.537,3.187,61.694,27893.462
20130607,8,0.005,26.4,12.611,2.99,63.032,27851.744
20130607,9,0.006,26.526,12.576,2.75,65.052,27843.784
20130607,10,0.005,26.828,12.472,2.605,65.926,27813.834
20130607,11,0.006,26.93,12.277,2.607,64.62,27837.12
20130607,12,0.006,17.304,11.856,7.709,85.891,28008.36
20130607,13,0.003,15.937,11.927,8.152,88.473,27933.803
20130607,14,0.003,17.182,12.102,8.024,87.967,27861.335
20130607,15,0.004,18.852,12.226,7.638,86.347,27869.76
20130607,16,0.003,24.098,12.517,4.057,74.268,27756.514
20130607,17,0.006,24.674,12.629,3.263,72.295,27779.04
20130607,18,0.006,26.272,12.993,3.3,62.676,27775.872
20130607,19,0.004,26.55,12.964,3.344,61.14,27852.195
20130607,20,0.005,26.673,12.727,3.347,60.159,27940.671
20130607,21,0.005,26.555,12.628,3.254,60.681,27959.855
20130607,22,0.004,26.51,12.81,2.985,62.897,27912.577
20130607,23,0.005,26.524,12.691,2.604,66.819,27856.408
20130607,24,0.006,26.678,12.567,2.436,68.696,27790.283
20130607,25,0.006,26.881,12.393,2.447,67.587,27793.795
20130607,26,0.006,27.031,11.972,2.569,61.717,27787.68
20130607,27,0.006,27.036,11.638,2.59,58.377,27646.56
20130607,28,0.006,26.939,11.394,2.603,57.638,27669.96
20130607,29,0.003,20.041,11.793,7.246,82.278,28132.15
20130607,30,0.006,19.293,11.82,7.301,83.135,28052.706
20130607,31,0.004,19.172,11.846,7.606,85.605,27943.656
20130607,32,0.005,20.923,11.959,7.262,84.483,27823.049
20130607,33,0.006,23.546,12.388,5.505,77.898,27736.686
20130607,34,0.004,25.359,12.659,3.661,73.266,27706.295
20130607,35,0.004,26.052,12.755,2.706,72.584,27682.292
20130607,36,0.005,25.693,13.155,2.538,72.74,27608.774
20130607,37,0.006,25.975,13.26,2.872,69.568,27562.115
20130607,38,0.005,26.205,13.118,3.24,63.584,27617.912
20130607,39,0.006,26.43,13.054,3.38,60.064,27738.371
20130607,40,0.005,26.512,12.929,3.431,59.126,27920.059
20130607,41,0.005,26.518,12.899,3.342,59.625,27999.937
20130607,42,0.004,26.532,12.931,3.008,62.37,27920.948
20130607,43,0.006,26.459,12.753,2.53,67.769,27803.945
20130607,44,0.004,26.444,12.607,2.342,70.425,27719.336
20130607,45,0.004,26.912,12.38,2.412,68.08,27729.62
20130607,46,0.005,27.308,11.811,2.545,60.033,27701.637
20130607,47,0.005,27.424,11.459,2.552,56.935,27691.524
20130607,48,0.004,27.414,11.238,2.555,56.745,27715.082
20130607,49,0.004,21.416,11.708,7.328,85.76,28011.82
20130607,50,0.005,21.205,11.765,7.284,84.754,28095.684
20130607,51,0.005,20.972,11.804,7.214,82.388,28124.193
20130607,52,0.005,21.248,11.828,6.943,81.326,28019.24
20130607,53,0.006,22.456,11.878,6.408,79.51,27887.563
20130607,54,0.004,23.91,11.961,5.74,77.205,27754.98
20130607,55,0.006,25.082,12.478,4.541,73.302,27650.001
20130607,56,0.003,26.273,13.001,3.36,71.09,27625.674
20130607,57,0.003,26.423,13.161,2.678,72.104,27615.974
20130607,58,0.005,25.957,13.231,2.591,72.328,27501.694
20130607,59,0.006,26.281,13.331,2.937,68.86,27352.664
20130607,60,0.005,26.321,13.231,3.234,63.415,27306.874
20130607,61,0.006,26.238,13.115,3.357,59.882,27467.923
20130607,62,0.005,26.215,13.066,3.395,58.98,27833.267
20130607,63,0.005,26.293,13.034,3.274,59.191,27991.923
20130607,64,0.004,26.54,12.969,3.073,60.887,27835.973
20130607,65,0.004,26.58,12.732,2.685,64.946,27680.746
20130607,66,0.005,26.553,12.371,2.471,67.623,27624.981
20130607,67,0.003,26.98,11.869,2.546,64.521,27627.229
20130607,68,0.005,27.545,11.441,2.583,58.404,27667.914
20130607,69,0.003,27.756,11.203,2.546,56.626,27688.108
20130607,70,0.005,27.583,10.98,2.556,56.53,27762.208
20130607,71,0.005,27.429,11.077,2.6,56.319,27838.776
20130607,72,0.002,27.301,11.095,2.635,56.209,27817.693
20130607,73,0.005,21.436,11.685,7.308,85.616,27977.946
20130607,74,0.005,21.381,11.756,7.26,85.207,27984.306
20130607,75,0.004,22.339,11.936,6.767,81.356,27970.528
20130607,76,0.005,23.442,12.046,5.741,75.661,27933.797
20130607,77,0.005,24.547,12.139,4.936,71.856,27784.697
20130607,78,0.004,25.319,12.168,4.567,70.927,27622.114
20130607,79,0.006,25.912,12.605,3.956,69.457,27508.885
20130607,80,0.005,26.277,12.948,3.458,68.105,27491.52
20130607,81,0.007,26.38,13.034,3.297,67.372,27533.957
20130607,82,0.011,26.362,13.109,3.311,66.569,27315.131
20130607,83,0.004,26.795,13.409,3.271,66.065,26932.315
20130607,84,0.005,26.681,13.248,3.276,63.028,26708.846
20130607,85,0.004,26.409,13.126,3.245,60.501,26788.471
20130607,86,0.005,26.213,13.151,3.167,59.155,27339.387
20130607,87,0.005,26.185,13.117,3.135,58.987,27655.229
20130607,88,0.005,26.76,13.089,3.067,60.265,27462.051
20130607,89,0.003,26.791,12.736,2.917,59.981,27374.526
20130607,90,0.004,26.611,12.146,2.91,57.554,27429.029
20130607,91,0.005,26.92,11.469,2.879,57.076,27504.083
20130607,92,0.004,27.391,10.831,2.7,56.049,27633.74
20130607,93,0.004,27.572,11.028,2.594,54.754,27742.183
20130607,94,0.005,27.415,10.999,2.594,54.693,27868.357
20130607,95,0.006,27.211,11.08,2.624,54.964,27972.392
20130607,96,0.005,27.183,11.053,2.641,55.655,27870.84
20130607,97,0.006,21.534,11.626,6.984,83.572,27896.377
20130607,98,0.004,21.47,11.689,6.763,82.213,27840.42
20130607,99,0.004,23.493,12.022,5.587,75.351,27809.98
20130607,100,0.004,25.286,12.368,4.242,67.919,27776.28
20130607,101,0.004,25.956,12.614,3.938,66.32,27614.649
20130607,102,0.006,26.256,12.657,3.991,67.316,27481.397
20130607,103,0.005,26.565,12.874,3.704,67.633,27322.646
20130607,104,0.004,26.698,12.94,3.423,67.218,27309.789
20130607,105,0.026,26.477,12.765,3.473,66.021,27319.029
20130607,106,0.117,26.384,12.7,3.632,63.789,27006.293
20130607,107,0.006,26.842,12.85,3.487,64.06,26365.7
20130607,108,0.006,27.032,12.916,3.346,62.133,25857.037
20130607,109,0.004,26.987,13.132,3.215,61.156,25683.386
20130607,110,0.005,26.557,13.213,3.033,62.643,26021.103
20130607,111,0.005,26.377,13.099,2.978,63.167,26511.035
20130607,112,0.003,26.627,12.998,2.998,61.838,26777.828
20130607,113,0.005,26.352,12.678,2.975,58.758,26919.653
20130607,114,0.005,26.386,12.232,2.991,55.675,27145.683
20130607,115,0.006,26.597,11.724,2.959,55.329,27384.992
20130607,116,0.003,26.942,11.362,2.713,52.723,27590.097
20130607,117,0.004,27.068,11.471,2.593,50.16,27778.497
20130607,118,0.006,26.944,11.449,2.606,51.004,28002.406
20130607,119,0.004,26.739,11.263,2.64,52.798,28183.437
20130607,120,0.006,22.503,11.593,6.297,79.537,27783.727
20130607,121,0.006,22.915,11.601,5.817,76.806,27733.703
20130607,122,0.006,24.576,12.074,4.746,70.791,27622.06
20130607,123,0.004,26.237,12.566,3.934,66.257,27480.117
20130607,124,0.004,26.518,12.885,3.829,65.676,27279.516
20130607,125,0.004,26.718,12.945,3.876,66.449,27218.276
20130607,126,0.005,26.82,12.952,3.677,67.096,27138.006
20130607,127,0.004,26.883,12.853,3.444,67.049,27045.403
20130607,128,0.004,26.751,12.549,3.441,66.513,26826.491
20130607,129,0.007,26.512,12.334,3.558,64.564,26322.895
20130607,130,0.005,26.682,12.206,3.506,63.086,25549.577
20130607,131,0.005,27.019,12.621,3.447,59.731,24660.937
20130607,132,0.004,26.833,13.113,3.418,58.033,23977.2
20130607,133,0.005,26.253,13.277,3.003,64.162,24183.543
20130607,134,0.003,26.239,13.142,2.824,66.816,25116.069
20130607,135,0.002,26.657,12.654,2.927,63.26,25918.726
20130607,136,0.004,26.205,12.432,2.949,60.218,26460.122
20130607,137,0.004,26.369,12.349,2.962,57.544,26902.98
20130607,138,0.005,26.187,12.003,2.908,55.73,27293.356
20130607,139,0.006,26.478,11.836,2.699,52.037,27607.575
20130607,140,0.004,26.629,12.121,2.594,49.777,27903.814
20130607,141,0.005,26.479,11.988,2.621,50.541,28196.524
20130607,142,0.006,26.428,11.489,2.646,51.873,28330.53
20130607,143,0.006,23.199,11.659,5.872,77.121,27745.2
20130607,144,0.006,24.011,11.837,5.232,73.551,27558.978
20130607,145,0.006,25.076,12.199,4.56,69.814,27380.554
20130607,146,0.005,26.13,12.63,4.056,66.994,27255.319
20130607,147,0.003,26.777,13.147,3.91,66.26,27132.969
20130607,148,0.005,26.917,13.163,3.902,66.683,27096.08
20130607,149,0.006,26.93,12.951,3.735,66.833,26986.846
20130607,150,0.004,27.082,12.954,3.551,66.521,26744.954
20130607,151,0.006,26.851,12.833,3.504,65.788,26409.584
20130607,152,0.006,26.581,12.664,3.513,64.256,25831.76
20130607,153,0.006,26.611,12.599,3.497,61.67,24997.954
20130607,154,0.006,26.764,12.596,3.54,57.371,23912.657
20130607,155,0.004,26.209,13.054,3.655,54.09,22753.997
20130607,156,0.005,25.847,13.094,3.491,56.566,22959.303
20130607,157,0.008,26.414,12.682,3.025,62.883,24302.403
20130607,158,0.005,27.365,11.869,2.88,61.723,25368.131
20130607,159,0.003,26.983,11.9,2.882,61.197,26130.735
20130607,160,0.003,26.626,12.016,2.948,59.851,26730.563
20130607,161,0.005,26.268,11.915,2.923,57.155,27231.003
20130607,162,0.004,26.559,11.889,2.838,54.158,27656.924
20130607,163,0.005,26.437,12.298,2.8,52.721,28051.789
20130607,164,0.006,26.19,12.072,2.79,52.886,28378.274
20130607,165,0.002,25.79,11.382,2.764,53.65,28676.363
20130607,166,0.006,25.336,10.916,2.645,53.861,28939.664
20130607,167,0.002,24.801,10.438,2.481,53.867,29182.093
20130607,168,0.006,24.683,12.076,4.873,71.57,27369.36
20130607,169,0.006,25.194,12.278,4.582,69.971,27293.367
20130607,170,0.003,26.859,13.406,3.99,66.927,27096.39
20130607,171,0.003,26.684,12.979,3.943,66.952,26962.729
20130607,172,0.005,26.694,12.926,3.788,66.539,26806.429
20130607,173,0.003,26.857,13.213,3.635,65.84,26544.952
20130607,174,0.006,26.746,13.17,3.551,64.846,26158.26
20130607,175,0.006,26.591,13.085,3.513,63.297,25580.889
20130607,176,0.002,26.616,12.952,3.496,60.781,24815.631
20130607,177,0.004,26.919,12.022,3.531,57.729,23838.163
20130607,178,0.003,26.356,12.054,3.591,55.67,23083.549
20130607,179,0.005,25.989,12.138,3.5,57.509,23211.154
20130607,180,0.027,26.494,11.762,3.2,62.481,24244.605
20130607,181,0.015,26.897,11.225,2.93,62.187,25252.383
20130607,182,0.005,26.67,11.299,2.927,61.907,26062.487
20130607,183,0.005,26.48,11.605,3.008,61.155,26711.423
20130607,184,0.006,26.492,11.771,2.993,58.195,27258.651
20130607,185,0.004,26.626,11.982,3.002,55.619,27729.586
20130607,186,0.004,26.524,12.354,3.048,54.96,28153.794
20130607,187,0.005,26.278,12.277,3.007,54.773,28550.377
20130607,188,0.004,25.675,11.567,2.805,54.048,28885.943
20130607,189,0.005,25.119,10.982,2.583,53.384,29166.966
20130607,190,0.005,24.506,10.345,2.415,53.434,29445.226
20130607,191,0.006,24.086,9.746,2.313,53.997,29607.652
20130607,192,0.005,26.291,13.067,3.945,66.785,26831.584
20130607,193,0.004,26.293,13.427,3.803,66.045,26706.7
20130607,194,0.005,26.431,13.637,3.662,65.056,26420.324
20130607,195,0.006,26.538,13.484,3.566,63.792,26085.986
20130607,196,0.005,26.592,13.13,3.513,62.256,25619.47
20130607,197,0.005,26.598,12.541,3.497,60.427,24976.306
20130607,198,0.004,26.604,11.738,3.521,58.731,24366.974
20130607,199,0.004,26.211,11.663,3.555,58.111,24078.197
20130607,200,0.021,25.847,11.684,3.524,60.544,24139.523
20130607,201,0.018,25.848,11.399,3.466,67.511,24753.292
20130607,202,0.003,25.638,11.055,3.442,69.58,25490.213
20130607,203,0.004,25.867,11.103,3.268,66.192,26189.562
20130607,204,0.006,26.083,11.414,3.139,62.528,26818.557
20130607,205,0.006,26.267,11.661,3.051,58.841,27362.486
20130607,206,0.006,26.368,12.067,3.044,55.972,27839.386
20130607,207,0.003,26.518,12.381,3.075,55.127,28267.243
20130607,208,0.003,26.683,12.581,3.04,54.961,28670.587
20130607,209,0.005,25.906,11.914,2.79,53.548,29078.492
20130607,210,0.003,25.009,11.193,2.541,51.938,29489.378
20130607,211,0.005,23.93,10.046,2.33,52.407,29906.489
20130607,212,0.004,23.432,9.072,2.208,54.001,29949.779
20130607,213,0.006,23.595,8.797,2.173,55.632,29769.066
20130607,214,0.006,26.016,13.129,3.909,66.3,26834.818
20130607,215,0.005,26.032,13.528,3.782,65.48,26659.262
20130607,216,0.003,26.159,13.587,3.643,64.219,26374.619
20130607,217,0.005,26.393,13.391,3.552,62.916,26133.34
20130607,218,0.005,26.641,13.028,3.503,61.508,25735.686
20130607,219,0.005,26.44,12.381,3.503,59.863,25301.963
20130607,220,0.003,25.991,11.937,3.575,58.162,24960.011
20130607,221,0.004,25.685,11.89,3.71,56.479,24803.386
20130607,222,0.008,25.393,11.656,3.769,56.422,24933.574
20130607,223,0.036,25.009,11.43,3.603,64.574,25333.506
20130607,224,0.004,24.826,11.294,3.513,69.835,25882.541
20130607,225,0.004,25.416,11.363,3.386,67.014,26480.353
20130607,226,0.005,25.727,11.335,3.199,62.748,27054.814
20130607,227,0.004,25.929,11.357,3.076,59.584,27560.409
20130607,228,0.004,25.92,12.067,3.027,57.077,27997.503
20130607,229,0.006,26.056,12.149,3.015,55.692,28396.274
20130607,230,0.006,26.196,11.951,2.925,54.739,28781.526
20130607,231,0.004,25.858,11.634,2.706,52.329,29193.78
20130607,232,0.005,25.156,10.772,2.626,50.192,29645.563
20130607,233,0.004,23.998,9.636,2.439,50.873,30126.679
20130607,234,0.002,23.238,8.016,2.132,54.966,30141.14
20130607,235,0.005,23.585,7.611,2.028,59.046,29431.046
20130607,236,0.006,23.839,8.053,2.138,57.159,29181.6
20130607,237,0.004,26.14,13.119,3.576,63.161,26337.6
20130607,238,0.006,26.204,12.78,3.513,62.2,26185.109
20130607,239,0.003,26.353,12.432,3.467,60.879,25938.134
20130607,240,0.005,26.263,12.035,3.478,59.319,25683.24
20130607,241,0.004,25.933,12.01,3.584,57.449,25473.966
20130607,242,0.004,25.518,11.954,3.766,55.32,25401.811
20130607,243,0.004,25.141,11.629,3.853,54.35,25564.483
20130607,244,0.009,24.727,11.481,3.679,57.684,25865.003
20130607,245,0.004,24.645,11.373,3.41,63.293,26295.877
20130607,246,0.002,25.178,11.232,3.28,63.421,26798.814
20130607,247,0.005,25.372,11.165,3.154,61.723,27311.737
20130607,248,0.006,25.435,11,3.069,60.492,27760.629
20130607,249,0.003,25.401,11.289,3.008,59.145,28149.706
20130607,250,0.004,25.511,11.307,2.944,57.373,28496.323
20130607,251,0.006,25.697,11.064,2.819,55.15,28838.646
20130607,252,0.006,25.707,10.689,2.663,52.204,29181.691
20130607,253,0.005,25.535,10.015,2.631,50.183,29535.591
20130607,254,0.004,25.184,9.321,2.488,51.283,29779.849
20130607,255,0.003,24.579,8.238,2.146,56.234,29487.737
20130607,256,0.003,23.95,7.388,2.072,58.2,29143.823
20130607,257,0.006,23.9,7.574,2.109,57.625,29114.925
20130607,258,0.006,25.878,12.561,3.55,62.88,26475.12
20130607,259,0.004,26.06,12.405,3.472,61.856,26384.585
20130607,260,0.003,26.205,11.844,3.412,60.508,26130.279
20130607,261,0.002,26.46,11.615,3.407,59.092,25886.535
20130607,262,0.004,26.079,11.651,3.447,57.772,25829.21
20130607,263,0.003,25.637,11.514,3.564,56.395,25907.091
20130607,264,0.005,25.159,11.417,3.575,56.042,26072.846
20130607,265,0.003,24.683,11.379,3.299,57.694,26327.649
20130607,266,0.004,24.355,11.463,3.112,59.217,26689.891
20130607,267,0.003,24.869,10.622,3.077,60.299,27097.071
20130607,268,0.004,25.141,10.018,3.053,61.212,27543.516
20130607,269,0.005,25.078,10.362,3.046,62.18,27971.03
20130607,270,0.005,24.844,10.422,3.033,62.198,28321.683
20130607,271,0.005,24.993,10.329,2.977,60.206,28596.2
20130607,272,0.005,25.341,10.106,2.849,56.952,28817.734
20130607,273,0.006,25.587,9.8,2.689,53.854,29056.74
20130607,274,0.005,25.704,9.409,2.579,52.155,29276.543
20130607,275,0.005,25.632,9.031,2.453,52.779,29218.349
20130607,276,0.005,25.122,8.476,2.273,55.101,28819.22
20130607,277,0.006,24.549,7.916,2.199,56.412,28746.403
20130607,278,0.006,24.327,7.822,2.202,56.596,28459.117
20130607,279,0.004,25.978,11.524,3.188,58.337,26174.787
20130607,280,0.004,25.681,11.275,3.089,58.018,26340.477
20130607,281,0.005,25.266,11.194,2.961,58.103,26470.526
20130607,282,0.005,25.019,11.006,2.97,58.29,26665.663
20130607,283,0.005,25.203,10.551,2.978,58.385,26971.886
20130607,284,0.004,25.603,9.928,2.919,59.274,27348.4
20130607,285,0.005,25.531,9.945,2.947,61.388,27732.376
20130607,286,0.005,25.21,9.89,3.053,64.023,28145.614
20130607,287,0.004,24.281,9.682,3.143,64.671,28484.866
20130607,288,0.004,24.601,9.456,3.148,62.293,28604.46
20130607,289,0.005,25.136,9.201,3.03,58.37,28673.739
20130607,290,0.005,25.47,8.99,2.827,55.661,28819.522
20130607,291,0.005,25.574,8.909,2.642,54.171,28892.39
20130607,292,0.005,25.472,8.773,2.502,54.097,28596.357
20130607,293,0.004,25.191,8.463,2.404,54.84,28207.812
20130607,294,0.006,24.846,8.168,2.297,55.606,28406.749
20130607,295,0.004,25.661,11.73,2.833,58.942,26547.173
20130607,296,0.003,25.469,11.506,2.627,58.784,26599.257
20130607,297,0.005,25.224,11.112,2.351,58.796,26741.657
20130607,298,0.006,25.15,10.778,2.356,58.727,26949.314
20130607,299,0.006,25.544,10.238,2.633,58.596,27222.691
20130607,300,0.004,25.865,9.891,2.738,59.263,27511.775
20130607,301,0.006,25.656,10.338,2.872,61.386,27809.901
20130607,302,0.004,26.326,9.511,3.126,63.853,28174.18
20130607,303,0.003,25.227,9.034,3.319,64.062,28424.369
20130607,304,0.005,24.793,8.791,3.366,59.394,28361.834
20130607,305,0.005,25.052,8.438,3.276,56.68,28335.72
20130607,306,0.004,25.342,8.203,3.053,55.939,28369.931
20130607,307,0.006,25.383,8.459,2.813,55.233,28319.88
20130607,308,0.003,25.364,8.652,2.631,54.774,28072.23
20130607,309,0.005,25.182,8.434,2.525,54.921,27837.18
20130607,310,0.006,25.006,8.292,2.503,55.116,27954.36
20130607,311,0.003,25.384,11.396,2.576,59.179,26807.515
20130607,312,0.005,25.287,11.296,2.363,59.041,26832.514
20130607,313,0.004,25.084,11.012,1.989,59.042,26963.837
20130607,314,0.004,24.925,10.753,1.781,59.1,27198.506
20130607,315,0.006,25.001,10.599,1.894,59.051,27338.386
20130607,316,0.005,24.508,11.386,2.488,59.367,27617.578
20130607,317,0.004,24.837,10.989,2.811,60.095,27801.513
20130607,318,0.005,26.019,9.386,3.209,60.206,27967.074
20130607,319,0.006,25.832,8.729,3.418,56.472,27906.023
20130607,320,0.004,25.055,8.404,3.453,53.228,27874.2
20130607,321,0.004,24.84,7.964,3.399,54.082,27935.266
20130607,322,0.004,24.967,7.814,3.209,55.251,27866.263
20130607,323,0.004,25.141,8.152,2.993,55.471,27671.832
20130607,324,0.005,25.288,11.227,2.56,59.306,26946.467
20130607,325,0.006,25.172,11.083,2.319,59.149,26999.04
20130607,326,0.003,25.011,10.863,2.055,59.09,27114.86
20130607,327,0.004,24.859,10.694,1.892,59.088,27229.216
20130607,328,0.006,24.75,10.601,1.91,59.082,27336.69
20130607,329,0.006,24.361,10.371,2.422,59.104,27511.455
20130607,330,0.003,24.376,9.648,2.843,58.884,27519.103
20130607,331,0.005,24.998,9.029,3.209,57.368,27406.414
20130607,332,0.004,25.152,8.621,3.403,54.393,27239.931
20130607,333,0.006,24.759,8.265,3.44,53.193,27480.989
20130607,334,0.005,24.555,7.987,3.384,53.938,27508.077
20130607,335,0.004,24.745,7.981,3.217,55.117,27136.911
20130607,336,0.006,24.96,8.098,3.083,55.424,26974.907
20130607,337,0.006,25.015,10.689,2.269,59.147,27130.68
20130607,338,0.004,24.585,9.689,2.622,58.811,27165.268
20130607,339,0.004,24.461,9.086,2.854,58.352,27103.024
20130607,340,0.006,24.751,8.81,3.13,57.061,26972.449
20130607,341,0.005,24.838,8.561,3.284,55.504,27073.78
20130607,342,0.005,24.471,8.231,3.314,54.841,27025.952
20130607,343,0.004,24.306,8.06,3.244,55.306,26759.579
20130607,344,0.006,24.686,8.212,3.118,55.943,26659.248
20130607,345,0.006,24.918,8.327,3.043,55.978,26772.72
20130607,346,0.002,25.136,9.683,2.726,58.633,26811.018
20130607,347,0.004,25.016,9.258,2.886,58.199,26862.705
20130607,348,0.005,25.093,8.908,3.03,57.582,26833.46
20130607,349,0.005,25.123,8.649,3.092,57.119,26662.017
20130607,350,0.004,24.911,8.435,3.058,57.357,26453.874
20130607,351,0.005,24.709,8.336,2.997,57.817,26467.709
20130607,352,0.006,24.987,8.487,2.955,57.703,26801.876
20130607,353,0.005,25.402,8.785,2.914,57.318,26992.8
20130607,354,0.006,25.396,8.957,2.969,58.073,26755.181
20130607,355,0.005,25.562,8.778,2.954,58.351,26641.726
20130607,356,0.004,25.426,8.602,2.9,59.047,26586.469
20130607,357,0.005,25.181,8.528,2.865,59.527,26466.206
20130607,358,0.006,25.408,8.672,2.866,59.261,26556.114
20130607,359,0.022,25.788,9.092,2.89,57.342,26687.16
20130607,360,0.006,25.814,8.771,2.936,51.225,26582.76
20130607,361,0.001,25.595,8.777,2.884,59.173,26561.978
20130607,362,0.005,25.487,8.659,2.863,59.548,26401.972
20130607,363,0.003,25.358,8.552,2.849,59.821,26148.134
20130607,364,0.004,25.707,8.458,2.851,59.678,26129.986
20130607,365,0.186,26.15,8.439,2.877,57.588,26264.713
20130607,366,0.033,26.065,8.709,2.913,53.838,26387.64
20130607,367,0.004,25.485,8.658,2.856,59.608,26245.44
20130607,368,0.003,25.529,8.556,2.852,59.709,26087.991
20130607,369,0.005,25.847,8.317,2.853,59.591,26025.527
20130607,370,0.004,26.339,7.935,2.876,57.657,26120.829
